title,console,genre,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,overall,year
Hidden Invasion,PS2,Shooter,Toka,,0.08,0.04,,0.03,0.01,2002-07-29,,,2002
Gradius Galaxies,GBA,Shooter,Mobile 21,7.8,0.08,0.06,,0.02,0.0,2001-11-12,,0.4422,2001
Conflict: Desert Storm,GC,Shooter,Pivotal Games,6.3,0.08,0.06,,0.02,0.0,2003-04-22,,0.2972,2003
Far Cry Instincts Evolution,XB,Shooter,Ubisoft Montreal,,0.08,0.06,,0.02,0.0,2006-03-28,,,2006
Medal of Honor: Underground,GBA,Shooter,Rebellion Developments,,0.08,0.05,,0.02,0.0,2002-12-02,,,2002
P.N.03 - Product Number Three,GC,Shooter,Capcom Production Studio 4,6.3,0.08,0.06,,0.02,0.0,2003-09-09,,0.2972,2003
Homefront: The Revolution,PC,Shooter,Dambuster Studios,,0.08,0.04,,0.03,0.01,2016-05-17,2018-05-24,,2016
Endgame,PS2,Shooter,Cunning Developments,,0.08,0.04,,0.03,0.01,2002-06-04,,,2002
Bangai-O Spirits,DS,Shooter,"Treasure Co., Ltd.",8.4,0.08,0.07,,0.0,0.01,2008-08-12,,0.5204,2008
Warhammer: Battle For Atluma,PSP,Action,JV Games,,0.08,0.07,,,0.01,2006-11-14,,,2006
Superman: Shadow of Apokolips,GC,Action,Infogrames,,0.08,0.06,,0.02,0.0,2003-03-25,,,2003
Sengoku Musou 3: Moushouden,Wii,Action,Omega Force,,0.08,,0.08,,,2011-02-10,2018-12-03,,2011
Puella Magi Madoka Magica: The Battle Pentagram,PSV,Action,ArtDink,,0.08,,0.08,,,2013-12-19,2018-12-03,,2013
Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,Action,Ubisoft,6.7,0.08,0.06,,0.02,0.0,2004-07-20,,0.3275,2004
Knights Contract,X360,Action,Game Republic,5.0,0.08,0.05,,0.03,0.01,2011-02-22,,0.2408,2011
Dynasty Warriors 9,XOne,Action,Omega Force,,0.08,0.06,,0.01,0.01,2018-02-13,2017-12-31,,2018
Order Up!!,PS3,Action,SuperVillain Studios,,0.08,0.06,,0.01,0.01,2012-02-28,,,2012
Knights in the Nightmare,DS,Role-Playing,Sting,7.5,0.08,0.06,0.02,,0.0,2009-06-03,,0.4101,2009
Nights of Azure,PSV,Role-Playing,Gust,,0.08,,0.08,,,2016-03-29,2018-06-01,,2016
Zoids: Legacy,GBA,Role-Playing,Amedio,,0.08,0.06,,0.02,0.0,2004-09-15,,,2004
Kamen Rider Travelers Record,3DS,Role-Playing,7thChord,,0.08,,0.08,,,2013-11-28,2018-12-01,,2013
Dungeon Maker II: The Hidden War,PSP,Role-Playing,Global A Entertainment,,0.08,0.07,,,0.01,2008-12-09,,,2008
Risen 3: Titan Lords,PS3,Role-Playing,Piranha Bytes,,0.08,0.02,,0.05,0.01,2014-08-12,2018-01-03,,2014
Blacksite: Area 51,PS3,Shooter,Midway Studios Austin,,0.08,0.07,,0.01,0.01,2007-12-10,,,2007
Mad Dog McCree: Gunslinger Pack,Wii,Shooter,Digital Leisure,,0.08,0.07,,0.0,0.01,2009-06-16,,,2009
The Legend of Heroes: Trails in the Sky First Chapter,PSV,Role-Playing,Nihon Falcom Corporation,,0.08,,0.08,,,2015-06-11,,,2015
PoPoLoCrois (JP sales),PSP,Role-Playing,G-Artists,,0.08,,0.08,,,2005-11-29,,,2005
Ken to Mahou to Gakuen Mono. 2,PSP,Role-Playing,ZeroDiv,,0.08,,0.08,,,2009-06-25,,,2009
Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS,Role-Playing,Banpresto,,0.08,,0.08,,,2007-12-06,,,2007
Ephemeral Fantasia,PS2,Role-Playing,Konami,5.7,0.08,0.04,,0.03,0.01,2001-07-09,,0.264,2001
Koudelka,PS,Role-Playing,Sacnoth,6.5,0.08,0.05,,0.03,0.01,1999-11-30,,0.312,1999
Lost Dimension,PS3,Role-Playing,Lancarse,,0.08,0.06,0.0,0.01,0.01,2015-07-28,2018-11-24,,2015
RockMan EXE 4.5 Real Operation,GBA,Role-Playing,Capcom,,0.08,,0.08,,0.0,2004-08-06,,,2004
Super Robot Taisen OG Saga: Endless Frontier,DS,Role-Playing,Monolith Soft,,0.08,0.07,,,0.01,2009-04-29,,,2009
Ogre Battle Series: Tactics Ogre,PS,Role-Playing,Quest Corporation,7.9,0.08,0.04,,0.03,0.01,1998-05-01,,0.4529,1998
Atelier Firis: The Alchemist and the Mysterious Journey,PS4,Role-Playing,Gust,,0.08,0.02,0.05,,0.01,2017-03-07,2018-07-04,,2017
Final Fantasy XI: Vana'diel Collection 2008,PS2,Role-Playing,Square Enix,,0.08,0.03,0.01,0.03,0.01,2007-11-20,,,2007
SaGa 3: Jikuu no Hasha - Shadow or Light,DS,Role-Playing,Square Enix,,0.08,,0.08,,,2011-01-06,,,2011
Shining Force: Resurrection of the Dark Dragon,GBA,Role-Playing,Amusement Vision,7.8,0.08,0.06,,0.02,0.0,2004-06-08,,0.4422,2004
Shining Soul II,GBA,Role-Playing,Grasshopper Manufacture,,0.08,0.06,,0.02,0.0,2004-04-20,,,2004
Shin Megami Tensei: Digital Devil Saga 2,PS2,Role-Playing,Atlus Co.,8.1,0.08,0.04,,0.03,0.01,2005-10-03,,0.4857,2005
Samurai Warriors Chronicles 3,3DS,Action,Omega Force,,0.08,,0.08,,,2015-06-30,2018-08-04,,2015
Bladestorm: Nightmare,XOne,Action,Omega Force,,0.08,0.06,,0.02,0.01,2015-03-03,2018-05-30,,2015
Jaws: Ultimate Predator,Wii,Action,Tectonic Studios,,0.08,0.08,,,0.01,2011-12-01,,,2011
Ghostbusters (2016),PS4,Action,FireForge Games,,0.08,0.07,,,0.02,2016-07-12,2018-09-17,,2016
Rescue Heroes: Billy Blazes,GBA,Action,WayForward Technologies,,0.08,0.06,,0.02,0.0,2003-08-27,,,2003
Sushi Academy,DS,Action,DTP Entertainment,,0.08,0.08,,,0.01,2009-11-02,,,2009
DaGeDar,DS,Action,GameMill Entertainment,,0.08,0.08,,,0.01,2011-11-08,,,2011
Ultimate Card Games DS,DS,Strategy,Unknown,,0.08,0.07,,,0.01,2008-10-17,,,2008
The Idolmaster: Gravure For You! Vol. 3,PS3,Action,Unknown,,0.08,,0.08,,,2011-12-29,,,2011
Metal Gear Survive,XOne,Action,Konami Digital Entertainment,,0.08,0.05,,0.01,0.01,2018-02-20,2018-02-25,,2018
Dynasty Warriors 3,XB,Action,Omega Force,,0.08,0.06,,0.02,0.0,2002-09-24,,,2002
Auto Destruct,PS,Action,Neurostone,,0.08,0.04,,0.03,0.01,1998-02-28,,,1998
Resident Evil 3: Nemesis,GC,Action,Capcom,5.7,0.08,0.06,,0.02,0.0,2003-01-15,,0.264,2003
Aliens in the Attic,Wii,Action,Playlogic Game Factory,,0.08,0.07,,0.0,0.01,2009-07-28,,,2009
Dead Island Definitive Collection,XOne,Action,Techland,,0.08,0.05,,0.03,0.01,2016-05-31,,,2016
Cartoon Network: Battle Crashers,NS,Action,Magic Pockets,,0.08,0.04,,0.04,0.01,2017-10-31,2020-09-25,,2017
Looney Tunes: Acme Arsenal,X360,Action,Red Tribe,,0.08,0.06,,0.01,0.01,2007-10-09,,,2007
Batman: Dark Tomorrow,GC,Action,"HotGen, Ltd.",2.3,0.08,0.06,,0.02,0.0,2003-03-25,,0.208,2003
Tomb Raider: Legend,GC,Action,Crystal Dynamics,7.9,0.08,0.06,,0.02,0.0,2006-11-14,,0.4529,2006
Seven Samurai 20XX,PS2,Action,Dimps Corporation,,0.08,0.04,,0.03,0.01,2004-03-12,,,2004
The Croods: Prehistoric Party!,DS,Action,Torus Games Pty. Ltd.,,0.08,0.03,,0.04,0.01,2013-03-19,2018-12-14,,2013
Monkey Hero,PS,Action,Blam!,,0.08,0.04,,0.03,0.0,1999-02-28,,,1999
Akiba's Beat,PS4,Action,Acquire,,0.08,0.05,0.01,,0.01,2017-05-16,2018-08-01,,2017
The Legend of Kage 2,DS,Action,Taito Corporation,,0.08,0.07,0.0,0.0,0.01,2008-10-08,,,2008
Samurai Western,PS2,Action,Acquire,,0.08,0.04,,0.03,0.01,2005-06-07,,,2005
Evil Dead: Regeneration,XB,Action,Cranky Pants Games,,0.08,0.06,,0.02,0.0,2005-09-13,,,2005
Toy Soldiers: War Chest,XOne,Action,Signal Studios,,0.08,0.07,,,0.01,2015-08-11,2018-06-25,,2015
Fatal Frame III: The Tormented,PS2,Action,Tecmo,7.7,0.08,0.04,,0.03,0.01,2005-11-08,,0.4326,2005
Zero: Tsukihami no Kamen,Wii,Action,Grasshopper Manufacture,7.5,0.08,,0.08,,,,,0.4101,
Legend of Kay Anniversary,PS4,Action,Neon Studios,,0.08,0.03,,0.03,0.01,2015-05-29,2018-09-11,,2015
Ninjabread Man,Wii,Action,Data Design Interactive,,0.08,0.07,,0.0,0.01,2007-10-01,,,2007
Harry Potter and the Sorcerer's Stone,GC,Action,Warthog,,0.08,0.06,,0.02,0.0,2003-12-09,,,2003
Jikkyou Powerful Pro Yakyuu Next,Wii,Sports,PawaPuro Production,,0.08,,0.08,,,2009-03-19,,,2009
Pro Evolution Soccer 2013,PC,Sports,Konami,,0.08,,,0.07,0.01,2012-09-25,2018-01-12,,2012
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,Action,Bandai Namco Games,,0.08,,0.08,,,2016-03-24,2018-08-06,,2016
C.O.P.: The Recruit,DS,Action,Ubisoft,5.7,0.08,0.05,,0.02,0.01,2009-11-03,,0.264,2009
Dead Rising,PS4,Action,Capcom Production Studio 1,,0.08,0.04,0.02,,0.01,2016-09-13,,,2016
The Secret Saturdays: Beasts of the 5th Sun,DS,Action,OneNine Studios,,0.08,0.08,,0.0,0.01,2009-10-20,,,2009
Famicom Mini: Adventure Island,GBA,Action,Hudson,,0.08,,0.08,,0.0,2004-05-21,,,2004
RoadKill,XB,Action,Terminal Reality,,0.08,0.06,,0.02,0.0,2003-10-13,,,2003
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,Sports,Konami,,0.08,,0.08,,,2011-06-23,,,2011
Rapala Pro Bass Fishing 2010,PS2,Sports,FUN Labs,,0.08,0.04,,0.03,0.01,2010-09-28,,,2010
Striker 96,PS,Sports,Rage Software,,0.08,0.04,,0.03,0.01,1996-01-01,,,1996
NHL Breakaway 99,N64,Sports,Iguana Entertainment,,0.08,0.07,,0.01,0.0,1998-11-27,,,1998
Tony Hawk's Pro Skater 3,N64,Sports,Edge of Reality,8.1,0.08,0.06,,0.02,0.0,2002-08-20,,0.4857,2002
Little League World Series Baseball: Double Play,Wii,Sports,Now Production,,0.08,0.07,,,0.01,2010-07-20,,,2010
High Heat Major League Baseball 2004,XB,Sports,3DO,,0.08,0.06,,0.02,0.0,2003-03-05,,,2003
Jillian Michaels Fitness Ultimatum 2010,DS,Sports,Mistic Software,,0.08,0.07,,,0.01,2009-10-20,,,2009
Ultimate Duck Hunting,Wii,Sports,Collision Studios,,0.08,0.07,,,0.01,2009-08-25,,,2009
NHL Hitz 20-03,GC,Sports,EA Black Box,,0.08,0.06,,0.02,0.0,2002-09-15,,,2002
All-Star Baseball 2004,GC,Sports,Acclaim Entertainment,,0.08,0.06,,0.02,0.0,2003-02-23,,,2003
Boxing Fever,GBA,Sports,Digital Fiction,7.2,0.08,0.06,,0.02,0.0,2001-10-11,,0.3776,2001
Major League Baseball 2K12,DS,Sports,"Visual Concepts, Ltd.",,0.08,0.07,,,0.01,2012-03-06,2018-11-03,,2012
MLB Front Office Manager,PS3,Sports,Blue Castle Games,,0.08,0.07,,,0.01,2009-01-26,,,2009
Skydiving Extreme,PS,Sports,Banpresto,,0.08,0.04,,0.03,0.01,2001-08-09,,,2001
New International Track & Field,DS,Sports,Sumo Digital,7.4,0.08,0.07,0.0,0.0,0.01,2008-07-22,,0.3967,2008
Dragon Force II: Kamisarishi Daichi ni,SAT,Strategy,Chime,,0.08,,0.08,,0.0,1998-04-02,,,1998
Quo Vadis,SAT,Strategy,The EDGE Interactive,,0.08,,0.08,,0.0,1995-12-21,,,1995
Stella Deus: The Gate of Eternity,PS2,Strategy,Pinegrow,7.3,0.08,0.04,,0.03,0.01,2005-04-26,,0.3866,2005
Little League World Series Baseball: Double Play,DS,Sports,Black Lantern Studios,,0.08,0.07,,,0.01,2010-07-20,,,2010
10 Minute Solution,Wii,Sports,Anchor Bay Entertainment,,0.08,0.06,,0.01,0.01,2010-06-29,,,2010
Outlaw Tennis,PS2,Sports,Hypnotix,,0.08,0.04,,0.03,0.01,2005-07-26,,,2005
Tony Hawk's Pro Skater 5,X360,Sports,Robomodo,,0.08,0.07,,,0.01,2015-12-15,2018-04-15,,2015
LEGO Soccer Mania,GBA,Sports,Tiertex Design Studios,,0.08,0.06,,0.02,0.0,2002-06-17,,,2002
Derby Tsuku: Derby Uma o Tsukurou!,DC,Sports,Sega,,0.08,,0.08,,0.0,2000-07-27,,,2000
Deadliest Catch: Sea of Chaos,PS3,Sports,Double Tap,,0.08,0.08,,,0.01,2010-11-29,,,2010
ESPN NFL PrimeTime 2002,PS2,Sports,Farsight Technologies,,0.08,0.04,,0.03,0.01,2001-12-02,,,2001
Swingerz Golf,GC,Sports,Telenet,,0.08,0.06,,0.02,0.0,2002-10-23,,,2002
Madden NFL 08,GC,Sports,EA Tiburon,7.6,0.08,0.06,,0.02,0.0,2007-08-14,,0.4231,2007
Pro Yakyuu Famista DS 2010,DS,Sports,Bandai Namco Games,,0.08,,0.08,,,2010-03-25,,,2010
Captain Tsubasa,PS2,Sports,Bandai Namco Games,,0.08,,0.08,,,2006-10-19,,,2006
NBA 2K Playgrounds 2,PS4,Sports,Saber Interactive,,0.08,0.06,,,0.01,2018-10-16,2018-09-11,,2018
Jikkyou Powerful Pro Yakyuu 12,GC,Sports,PawaPuro Production,,0.08,,0.08,,0.0,2005-07-14,,,2005
LEGO Soccer Mania,PS2,Sports,Silicon Dreams,,0.08,0.04,,0.03,0.01,2002-06-17,,,2002
NHL 2K7,X360,Sports,2K Sports,8.0,0.08,0.07,,0.0,0.01,2006-09-12,,0.4694,2006
Jikkyou Powerful Major League 2009,PS2,Sports,PawaPuro Production,,0.08,,0.08,,,2009-04-29,,,2009
J-League Winning Eleven 2009: Club Championship,PS2,Sports,Konami,,0.08,,0.08,,,2009-08-06,,,2009
FIFA Soccer 2005,GBA,Sports,EA Canada,8.1,0.08,0.06,,0.02,0.0,2004-10-12,,0.4857,2004
FIFA 18,PC,Sports,EA Vancouver,8.0,0.08,,,0.08,0.0,2017-09-29,2018-04-02,0.4694,2017
Don King Boxing,DS,Sports,Venom Games,,0.08,0.06,,0.02,0.01,2009-03-31,,,2009
Disney's Meet the Robinsons,X360,Action,Avalanche Software,,0.08,0.07,,0.0,0.01,2007-03-27,,,2007
Incredible Crisis,PS,Action,Polygon Magic,,0.08,0.04,,0.03,0.01,2000-11-06,,,2000
Jikkyou Powerful Pro Yakyuu 15,Wii,Sports,PawaPuro Production,,0.08,,0.08,,,2008-07-24,,,2008
Cabela's North American Adventures,PS2,Sports,Activision,,0.08,0.04,,0.03,0.01,2010-09-14,,,2010
Pro Evolution Soccer 2008 (JP sales),DS,Sports,Konami,,0.08,,0.08,,,2008-03-11,,,2008
Diva Girls: Divas on Ice,Wii,Sports,505 Games,,0.08,0.07,,0.0,0.01,2009-06-16,,,2009
FIFA Street 2,XB,Sports,EA Canada,,0.08,0.06,,0.02,0.0,2006-02-28,,,2006
Orega Kantoku Da! Gekitou Pennant Race,PS2,Sports,Enix Corporation,,0.08,,0.08,,,2000-11-22,,,2000
Diego's Build & Rescue,DS,Action,2K Play,,0.08,0.07,,0.0,0.01,2010-10-26,,,2010
Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,PS2,Action,Bandai Namco Games,,0.08,,0.08,,,2007-08-30,,,2007
Indycar Series 2005,XB,Action,Unknown,,0.08,0.06,,0.02,0.0,2004-06-22,,,2004
Medabots Dual: Kabuto / Kuwagata,3DS,Action,Jupiter Corporation,,0.08,,0.08,,,2013-11-14,2018-12-03,,2013
World Series of Poker 2008: Battle for the Bracelets,X360,Action,Unknown,,0.08,0.06,,0.01,0.01,2007-09-26,,,2007
Knights Contract,PS3,Action,Game Republic,5.8,0.08,0.04,,0.03,0.01,2011-02-22,,0.2672,2011
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,Action,THQ,,0.08,0.04,,0.04,0.01,2011-09-13,,,2011
Super Sentai Battle: Ranger Cross,Wii,Action,Namco Bandai Games,,0.08,,0.08,,,2011-09-08,,,2011
Salon Superstar,DS,Simulation,505 Games,,0.08,0.07,,,0.0,2009-12-08,,,2009
The Sims 3: Fast Lane Stuff,PC,Simulation,EA Redwood Shores,,0.08,0.01,,0.05,0.01,2010-09-07,,,2010
Armored Core 3 Portable,PSP,Simulation,From Software,,0.08,,0.08,,,2009-07-30,,,2009
Overcooked! 2,XOne,Simulation,Ghost Town Games,,0.08,0.07,,0.0,0.01,2018-08-07,2018-06-14,,2018
The Sims 2: Ikea Home Stuff,PC,Simulation,Maxis,,0.08,,,0.07,0.01,2008-06-23,,,2008
Dreamer Series: Shop Owner,DS,Simulation,ZigZag Island,,0.08,0.07,,0.0,0.01,2009-05-12,,,2009
Imagine: My Restaurant,DS,Simulation,Vicarious Visions,,0.08,,,0.07,0.01,2009-03-27,,,2009
The Idolm@ster,X360,Simulation,Bandai Namco Games,,0.08,,0.08,,,2007-01-25,,,2007
Major League Baseball 2K11,PC,Sports,Visual Concepts,,0.08,0.06,,0.02,0.01,2011-03-08,,,2011
Slam 'n Jam '96 featuring Magic & Kareem,PS,Sports,Left Field Productions,,0.08,0.04,,0.03,0.01,1996-01-01,,,1996
R.B.I. Baseball 2017,NS,Sports,MLB.com,,0.08,0.07,,,0.01,2017-09-05,,,2017
Captain Tsubasa: New Kick Off,DS,Sports,Konami,,0.08,,0.06,0.02,0.0,2010-11-04,,,2010
NHL 06,GC,Sports,EA Canada,,0.08,0.06,,0.02,0.0,2005-09-06,,,2005
Sports Collection,DS,Sports,Ubisoft Pune,,0.08,0.06,,0.01,0.01,2010-10-05,,,2010
Sub Rebellion,PS2,Simulation,Irem Software Engineering,,0.08,0.04,,0.03,0.01,2002-10-12,,,2002
Port Royale 3,PS3,Simulation,Gaming Minds Studios,,0.08,0.06,,,0.01,2012-10-02,2018-12-04,,2012
Black/Matrix,SAT,Strategy,Flight-Plan,,0.08,,0.08,,0.0,1998-08-27,,,1998
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PSP,Strategy,ZeroDiv,,0.08,,0.08,,,2011-10-13,,,2011
Get Fit with Mel B,Wii,Sports,Lightning Fish,,0.08,0.03,,0.05,0.01,2011-09-14,,,2011
Get Fit with Mel B,X360,Sports,Lightning Fish,,0.08,0.0,,0.06,0.01,,,,
Winter Stars,PS3,Sports,49Games,,0.08,0.01,,0.05,0.01,2011-11-10,,,2011
FIFA Soccer 2003,GC,Sports,EA Canada,,0.08,0.06,,0.02,0.0,2002-11-14,,,2002
Backyard NBA Basketball,DS,Sports,Mistic Software,,0.08,0.07,,,0.01,2007-09-25,,,2007
Outlaw Golf,GC,Sports,Hypnotix,,0.08,0.06,,0.02,0.0,2002-10-30,,,2002
Super Football,2600,Sports,Atari,,0.08,0.07,,0.0,0.0,1988-01-01,,,1988
Derby Stallion 98,SNES,Sports,ASCII Entertainment,,0.08,,0.08,,,1998-08-25,,,1998
Worms: A Space Oddity,Wii,Strategy,Team17 Software,,0.08,0.06,,0.02,0.01,2008-03-18,,,2008
Future Card Buddyfight: Yuujou no Bakunetsu Fight!,3DS,Strategy,FuRyu,,0.08,,0.08,,,2015-04-16,2018-08-04,,2015
FabStyle,DS,Strategy,Tecmo Koei Games,,0.08,,0.08,,,2011-11-24,2018-07-30,,2011
GOTHA: Ismailia Seneki,SAT,Strategy,Micronet,,0.08,,0.08,,0.0,1995-01-27,,,1995
P.T.O. IV: Pacific Theater of Operations,PS2,Strategy,Koei,,0.08,0.04,,0.03,0.01,2003-02-03,,,2003
Bakugan: Rise of the Resistance,DS,Strategy,Activision,,0.08,0.05,,0.02,0.01,2011-11-08,,,2011
WSC Real 11: World Snooker Championship,PS3,Sports,Dark Energy Digital,,0.08,,,0.07,0.02,2011-04-15,,,2011
101-in-1 Sports Megamix,DS,Sports,Nordcurrent,,0.08,0.08,,0.0,0.01,2010-09-07,,,2010
NCAA Football 08,XB,Sports,EA Tiburon,,0.08,0.06,,0.02,0.0,2007-07-17,,,2007
Winter Sports 2: The Next Challenge,PS2,Sports,49Games,,0.08,0.04,,0.03,0.01,2008-11-18,,,2008
The Sims 3: Barnacle Bay,PC,Simulation,Maxis,,0.08,0.08,,,0.01,2011-03-08,,,2011
Charm Girls Club: My Fashion Show,DS,Simulation,Electronic Arts Casual Studios,,0.08,0.08,,,0.01,2009-10-20,,,2009
Elite: Dangerous,XOne,Simulation,Frontier Developments,,0.08,0.07,,,0.01,2017-06-27,2018-06-15,,2017
Blazing Angels: Squadrons of WWII,XB,Simulation,Ubisoft Romania,7.0,0.08,0.06,,0.02,0.0,2006-03-23,,0.3569,2006
Dungeon Travelers 2: The Royal Library & the Monster Seal,PSP,Role-Playing,Sting,,0.08,,0.08,,,2013-03-28,2018-12-03,,2013
Alien Syndrome,PSP,Role-Playing,Totally Games,4.9,0.08,0.07,,0.0,0.01,2007-07-24,,0.2364,2007
Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,Role-Playing,Sonic Team,7.4,0.08,0.06,,0.02,0.0,2004-03-02,,0.3967,2004
Moe Chronicle,PSV,Role-Playing,Compile Heart,,0.08,,0.08,,,2014-05-15,2018-12-12,,2014
Criminal Girls,PSP,Role-Playing,imageepoch Inc.,,0.08,,0.08,,,2010-11-18,,,2010
Dragon Shadow Spell,PS2,Role-Playing,Flight-Plan,,0.08,,0.08,,,2007-01-18,,,2007
Little League World Series Baseball 2010,PS3,Sports,Now Production,,0.08,0.07,,,0.01,2010-07-20,,,2010
NBA 10 The Inside,PSP,Sports,SCEA San Diego Studios,6.5,0.08,0.07,,,0.01,2009-10-06,,0.312,2009
Dragon Slayer: The Legend of Heroes,GEN,Role-Playing,Nihon Falcom Corporation,,0.08,,0.08,,0.0,1994-09-16,2018-12-14,,1994
Child of Light,PSV,Role-Playing,Ubisoft Montreal,,0.08,,0.02,0.05,0.01,2014-07-01,2018-12-30,,2014
Slayers Royal 2,SAT,Role-Playing,Onion Egg,,0.08,,0.08,,0.0,1998-09-03,,,1998
Dawn of Heroes,DS,Role-Playing,Wicked Studios,,0.08,0.07,,,0.01,2010-08-17,,,2010
Lost Heroes 2,3DS,Role-Playing,M2,,0.08,,0.08,,,2015-01-29,2018-08-06,,2015
Majin Tensei,SNES,Role-Playing,Atlus Co.,,0.08,,0.08,,,1994-01-28,,,1994
Dragon Ball Z: The Legacy of Goku I & II,GBA,Role-Playing,Webfoot Technologies,,0.08,0.05,,0.02,0.0,2005-12-08,,,2005
Hero Bank,3DS,Role-Playing,Sega,,0.08,,0.08,,,2014-03-20,2018-12-14,,2014
Rick & Morty Virtual Rick-Ality,PS4,Simulation,Owlchemy Labs,,0.08,0.06,,,0.01,2018-04-24,2018-02-27,,2018
Petz Fantasy: Sunshine Magic,DS,Simulation,Ubisoft,,0.08,0.07,,0.0,0.01,2010-10-05,,,2010
Mission Runway,DS,Simulation,Arts Software,,0.08,0.07,,0.01,0.01,2009-05-11,,,2009
Battlestar Galactica,XB,Simulation,Warthog,,0.08,0.06,,0.02,0.0,2003-11-19,,,2003
Fireblade,XB,Simulation,Kuju Entertainment,,0.08,0.06,,0.02,0.0,2002-11-17,,,2002
ZhuZhu Babies,DS,Simulation,Black Lantern Studios,,0.08,0.06,,0.01,0.01,2011-11-01,,,2011
Baroque,Wii,Role-Playing,Sting,5.2,0.08,0.07,0.0,0.0,0.01,2008-04-08,,0.2472,2008
Conception: Please Give Birth to My Child!,PSP,Role-Playing,Spike,,0.08,,0.08,,,2012-04-26,2018-12-14,,2012
Zoo Tycoon (2013),X360,Simulation,Frontier Developments,,0.08,0.02,,0.06,0.01,2013-11-22,2018-09-29,,2013
Ski-Doo Snowmobile Challenge,Wii,Racing,ColdWood Interactive,,0.08,0.08,,,0.01,2009-10-13,,,2009
Wreckin Crew,PS,Racing,Quickdraw Developments Ltd.,,0.08,0.05,,0.03,0.01,1998-01-18,,,1998
Sega GT Online,XB,Racing,Wow Entertainment,,0.08,0.06,,0.02,0.0,2004-01-27,,,2004
TT Isle of Man: Ride on the Edge,XOne,Racing,Kylotonn,,0.08,0.05,,0.03,0.01,2018-03-06,2018-03-07,,2018
Driven,GC,Racing,BAM! Entertainment,,0.08,0.06,,0.02,0.0,2002-03-30,,,2002
Petz: Dogz Family,PSP,Simulation,Ubisoft,,0.08,0.05,,0.02,0.01,2009-10-27,,,2009
The Sims 2: Apartment Life,PC,Simulation,Maxis,,0.08,,,0.08,0.01,2008-08-26,,,2008
MXGP 3: The Official Motocross Videogame,NS,Racing,Milestone,,0.08,0.06,,0.02,0.01,2017-11-17,2018-06-25,,2017
WWE Crush Hour,GC,Racing,Pacific Coast Power & Light,,0.08,0.06,,0.02,0.0,2003-03-17,,,2003
Assetto Corsa,PS4,Racing,Kunos Simulazioni,,0.08,,0.01,0.06,0.01,2016-08-30,2018-09-17,,2016
Krazy Ivan,PS,Simulation,Psygnosis,,0.08,0.04,,0.03,0.0,1996-01-01,,,1996
Silent Hunter III,PC,Simulation,Ubisoft Romania,,0.08,,,0.07,0.01,2005-03-18,,,2005
Nicola Kanshuu: Model Oshare * Audition Platinum,3DS,Simulation,Alchemist,,0.08,,0.08,,,2012-11-08,2018-12-14,,2012
Princess Maker 2,SAT,Simulation,Gainax,,0.08,,0.08,,0.0,1995-10-27,,,1995
Animal Planet: Emergency Vets,DS,Simulation,SilverBirch Studios,,0.08,0.08,,0.0,0.01,2009-03-13,,,2009
WRC 6,PS4,Racing,Bigben Interactive,,0.08,0.03,0.01,0.02,0.01,2017-03-03,2018-08-12,,2017
MX vs ATV All Out,XOne,Racing,Rainbow Studios,,0.08,0.07,,,0.01,2018-03-27,2018-03-23,,2018
Monster Trucks DS,DS,Racing,Skyworks Technologies,,0.08,0.07,,0.0,0.01,2005-11-23,,,2005
Gadget Racers,PS2,Racing,Barnhouse Effect,,0.08,0.04,,0.03,0.01,2001-08-21,,,2001
Jimmie Johnson's Anything With an Engine,PS3,Racing,Isopod Labs,,0.08,0.07,,,0.01,2011-11-01,,,2011
Ford vs. Chevy,XB,Racing,2K Games,,0.08,0.06,,0.02,0.0,2005-11-09,,,2005
The Dukes of Hazzard: Return of the General Lee,XB,Racing,Ratbag,,0.08,0.06,,0.02,0.0,2004-09-28,,,2004
SRS: Street Racing Syndicate,GC,Racing,Eutechnyx,,0.08,0.07,,0.02,0.0,2004-08-31,,,2004
Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,Simulation,Takara Tomy ARTS,,0.08,,0.08,,,2013-11-28,2018-12-02,,2013
TrackMania DS,DS,Racing,Firebrand Games,7.5,0.08,0.06,,0.01,0.01,2009-03-17,,0.4101,2009
Gravel,PS4,Racing,Milestone S.r.l.,,0.08,0.06,,,0.01,2018-02-27,2018-01-13,,2018
SCORE International Baja 1000: The Official Game,PS3,Racing,Left Field Productions,,0.08,0.07,,0.0,0.01,2008-10-28,,,2008
Blood Drive,PS3,Racing,Activision,,0.08,0.07,,,0.01,2010-10-26,,,2010
Monster Jam: Crush It,NS,Racing,GameMill,,0.08,0.04,,0.03,0.01,2017-10-31,,,2017
